count_i, smass, sfr, m_age, l_age, AV 
10290 5.199 -4.262 0.291 -0.134 4.000
10291 5.375 -3.889 0.252 -0.325 3.494
10292 5.388 -4.030 0.265 -0.368 3.915
10293 5.288 -4.134 0.263 -0.194 0.076
10294 5.236 -4.219 0.291 -0.144 3.962
10295 5.199 -4.262 0.300 -0.126 4.000
10296 5.279 -4.022 0.267 -0.243 3.387
10297 5.226 -4.198 0.280 -0.164 2.404
10298 5.308 -4.119 0.272 -0.184 1.447
10299 5.480 -3.987 0.170 -0.279 0.288
103 5.281 -4.131 0.272 -0.181 0.279
1030 5.237 -4.213 0.292 -0.149 0.085
10300 5.296 -4.056 0.272 -0.281 3.760
10301 5.246 -4.209 0.293 -0.142 0.026
10302 5.199 -4.264 0.294 -0.130 3.996
10303 5.637 -3.378 0.220 -0.539 2.494
10304 5.257 -4.110 0.288 -0.389 3.979
10305 5.307 -4.017 0.288 -0.214 2.715
10306 5.324 -3.742 0.238 -0.466 0.098
10307 5.702 -3.914 0.136 -0.298 0.258
10308 5.257 -4.165 0.287 -0.174 0.164
10309 5.197 -4.263 0.307 -0.121 4.002
1031 5.759 -3.662 0.225 -0.230 0.601
10310 5.341 -3.773 0.237 -0.458 0.074
10311 5.592 -3.631 0.203 -0.815 3.867
10312 5.306 -4.123 0.274 -0.199 0.505
10313 5.711 -3.998 0.013 -0.359 0.038
10314 5.199 -4.264 0.288 -0.138 4.001
10315 5.325 -4.118 0.293 -0.145 1.257
10316 5.865 -3.563 0.146 -0.330 2.843
10317 5.449 -3.860 0.219 -0.454 3.199
10318 5.328 -4.010 0.282 -0.209 3.064
10319 5.597 -4.008 0.081 -0.336 0.061
1032 5.440 -3.595 0.173 -1.009 3.959
10320 5.198 -4.262 0.295 -0.137 3.998
10321 5.266 -4.116 0.273 -0.197 2.372
10322 5.493 -3.590 0.210 -0.489 0.210
10323 5.745 -3.929 0.054 -0.330 0.045
10324 5.896 -3.863 0.291 -0.010 0.896
10325 5.737 -3.847 -0.022 -0.410 0.079
10326 5.637 -3.465 0.087 -0.392 0.092
10327 5.795 -3.891 0.338 -0.078 1.028
10328 5.594 -3.228 0.162 -0.729 1.403
10329 5.458 -4.025 0.193 -0.247 0.657
1033 5.658 -3.001 0.057 -0.658 0.213
10330 5.466 -3.548 0.238 -0.303 0.184
10331 5.806 -3.963 0.126 -0.149 1.271
10332 5.620 -3.932 0.096 -0.353 0.080
10333 6.073 -3.939 0.414 0.197 2.815
10334 5.478 -3.663 0.247 -0.465 0.816
10335 5.596 -3.198 0.145 -0.799 0.324
10336 5.835 -4.057 -0.012 -0.367 0.089
10337 5.595 -3.362 0.166 -0.653 0.201
10338 5.371 -3.945 0.266 -0.231 0.573
10339 5.311 -4.167 0.246 -0.209 0.064
1034 5.772 -4.065 -0.011 -0.360 0.079
10340 5.336 -4.067 0.234 -0.220 0.031
10341 6.027 -4.025 0.086 -0.099 0.092
10342 5.517 -3.342 0.192 -0.708 0.064
10343 5.425 -3.939 0.205 -0.277 0.039
10344 5.621 -3.539 0.265 -0.848 3.853
10345 5.343 -3.874 0.264 -0.711 3.983
10346 6.181 -3.915 0.126 -0.044 1.587
10347 5.905 -3.999 -0.033 -0.378 0.042
