count_i, smass, sfr, m_age, l_age, AV 
1343 8.384 -3.350 0.038 -0.015 0.423
1344 8.477 -3.055 0.003 -0.029 0.328
1345 8.612 -3.526 -0.092 -0.206 0.359
1346 8.766 -1.370 0.009 -0.130 0.252
1347 8.915 -2.045 -0.031 -0.101 0.600
1348 9.134 -1.941 0.467 0.405 1.501
1349 7.880 -0.436 -1.178 -1.694 0.282
135 5.851 -2.899 0.030 -1.011 0.369
1350 8.966 -3.252 -0.478 -0.517 0.376
1351 8.340 -3.068 -0.474 -0.551 0.127
1352 8.408 0.166 -1.265 -1.456 0.107
1353 8.508 0.195 -0.859 -1.383 2.192
1354 7.974 -0.300 -1.306 -1.712 0.322
1355 9.252 -2.791 0.457 0.435 1.151
1356 8.004 -0.270 -1.239 -1.579 1.152
1357 8.610 -1.824 -0.448 -0.647 1.511
1358 8.049 -0.940 -0.039 -0.962 0.409
1359 8.324 -1.797 -0.471 -0.681 1.149
136 5.861 -3.131 0.192 -1.098 2.918
1360 8.223 -0.474 0.278 -0.434 1.100
1361 8.068 -1.193 -0.481 -0.778 1.355
1362 8.203 -3.414 0.351 0.211 0.479
1363 7.822 -1.006 0.260 -0.346 0.669
1364 7.924 -3.580 0.163 -0.148 1.044
1365 7.882 -3.724 0.172 0.093 0.508
1366 7.826 -3.473 0.055 -0.000 0.727
1367 7.621 -1.909 0.003 -0.359 0.753
1368 7.662 -1.576 0.341 -0.044 0.714
1369 7.413 -2.966 -0.162 -0.475 0.461
137 6.043 -3.891 -0.056 -0.385 0.141
1370 7.503 -3.612 -0.030 -0.131 0.277
1371 7.399 -2.260 0.260 -0.135 0.432
1372 7.343 -2.017 0.115 -0.134 0.201
1373 7.404 -3.432 0.383 0.283 0.538
1374 6.728 -2.094 -0.309 -0.870 0.326
1375 7.043 -2.397 0.058 -0.198 0.388
1376 7.153 -3.471 0.332 0.190 0.623
1377 7.049 -3.729 0.167 0.069 0.176
1378 7.198 -3.106 0.404 0.166 1.683
1379 6.594 -2.634 0.333 -0.832 0.409
138 6.696 -3.331 0.054 -0.187 0.983
1380 7.239 -2.156 0.257 -0.332 0.570
1381 7.229 -2.057 -0.199 -0.639 0.369
1382 7.477 -1.902 0.070 -0.374 0.521
1383 7.254 -1.104 -0.621 -0.918 0.486
1384 7.406 -1.313 -0.175 -0.725 0.315
1385 7.628 -2.938 -0.165 -0.369 0.556
1386 7.447 -1.008 0.054 -0.650 0.666
1387 7.503 -1.950 0.415 -0.381 0.238
1388 7.474 -2.382 -0.404 -0.765 0.504
1389 7.939 -3.514 0.373 0.305 0.281
139 6.379 -2.096 -0.012 -0.668 1.024
1390 8.680 -1.524 0.026 -0.296 3.018
1391 7.909 -1.364 0.256 -0.208 0.747
1392 7.927 -2.243 0.087 -0.233 0.428
1393 8.234 -2.916 0.338 0.082 0.665
1394 8.264 -1.679 0.069 -0.305 1.039
1395 8.495 -2.306 0.253 0.064 0.678
1396 12.496 0.599 -0.006 -0.011 2.707
1397 8.433 -1.087 -0.484 -0.774 0.686
1398 8.759 -0.504 -0.339 -0.544 1.625
1399 8.745 -0.930 -0.023 -0.245 0.474
14 5.885 -3.092 0.024 -0.719 0.133
140 5.730 -3.965 0.148 -0.290 0.174
1400 8.436 -1.162 -0.460 -0.927 0.384
1401 8.073 -0.189 -1.209 -1.523 0.198
1402 7.711 -2.491 -0.201 -0.408 0.847
1403 8.395 0.031 -0.685 -1.381 2.839
1404 7.952 -0.299 -1.172 -1.450 0.300
1405 9.082 -3.087 0.479 0.460 1.031
1406 8.342 -0.832 -0.530 -1.049 0.961
1407 8.050 -0.215 -1.216 -1.470 1.642
1408 8.275 -1.440 -0.481 -0.915 0.941
1409 8.290 -1.831 -0.399 -0.731 1.064
141 6.593 -3.736 0.436 0.278 2.884
1410 8.471 -3.392 0.087 -0.083 1.000
1411 8.395 -2.096 0.214 0.041 0.980
1412 8.246 -2.074 0.046 -0.185 1.086
1413 7.891 -2.143 -0.445 -0.755 1.309
1414 7.670 -0.820 -0.248 -0.742 1.201
1415 7.961 -3.318 0.191 0.119 0.836
1416 7.844 -3.108 0.046 -0.031 0.808
1417 7.766 -3.723 0.075 0.026 0.680
1418 7.681 -2.112 0.031 -0.174 0.931
1419 7.796 -3.646 0.468 0.440 0.288
142 5.929 -2.917 0.127 -0.773 3.520
1420 7.722 -3.122 0.475 0.401 0.587
1421 7.689 -3.125 0.040 -0.038 2.531
1422 6.814 -2.472 0.311 -0.842 0.515
1423 7.506 -3.605 0.461 0.392 0.322
1424 7.412 -3.450 0.451 0.370 0.491
1425 6.623 -1.881 -0.097 -1.117 1.293
1426 6.300 -2.646 -0.183 -1.284 1.343
1427 7.225 -3.667 0.470 0.394 1.721
1428 6.837 -3.125 0.385 0.080 0.700
1429 6.358 -2.706 -0.154 -1.174 0.462
143 6.148 -2.623 0.060 -1.087 2.766
1430 6.320 -2.491 0.037 -1.291 1.669
1431 7.106 -2.383 -0.003 -0.474 0.321
1432 6.506 -2.016 -0.176 -1.380 0.614
1433 7.511 -3.783 0.259 0.031 0.507
1434 7.555 -3.412 -0.032 -0.129 0.473
1435 7.123 -1.769 -0.464 -1.068 0.393
1436 7.215 -1.717 0.303 -0.720 0.291
1437 6.914 -1.438 -0.508 -1.396 0.209
1438 6.917 -1.477 -0.458 -1.373 0.210
1439 7.465 -1.876 0.246 -0.521 0.320
144 6.193 -3.135 0.331 -0.273 0.930
1440 7.845 -1.907 0.309 0.062 1.657
1441 7.505 -2.052 -0.030 -0.687 0.330
1442 7.796 -1.198 -0.097 -0.398 0.748
1443 7.921 -2.540 -0.018 -0.259 0.392
1444 8.035 -2.105 0.073 -0.140 0.466
1445 8.185 -2.680 -0.029 -0.169 0.663
1446 8.249 -1.068 -0.076 -0.315 0.733
1447 8.535 -2.418 0.298 0.125 0.744
1448 8.480 -1.788 -0.438 -0.657 1.712
1449 8.335 -1.489 -0.360 -0.757 0.819
145 5.713 -3.889 0.079 -0.341 0.110
1450 8.569 -3.086 -0.508 -0.531 1.407
1451 8.399 -1.564 -0.473 -0.797 0.628
1452 9.068 -2.968 0.014 -0.011 2.569
1453 7.878 -0.423 -1.130 -1.445 0.311
1454 7.794 -0.507 -0.995 -1.399 0.191
1455 8.845 -3.498 0.185 0.136 0.778
1456 8.469 -1.592 -0.453 -0.736 0.932
