count_i, smass, sfr, m_age, l_age, AV 
10245 5.552 -3.516 0.201 -0.791 0.865
10246 6.626 -3.978 0.477 0.376 3.919
10247 5.392 -3.529 0.221 -1.140 3.973
10248 5.565 -3.694 0.235 -0.741 1.150
10249 5.617 -3.473 0.225 -0.911 3.574
1025 5.386 -3.902 0.267 -0.483 3.895
10250 5.488 -3.657 0.225 -0.867 0.716
10251 6.251 -3.935 0.445 0.280 2.737
10252 5.616 -3.649 0.235 -0.721 1.773
10253 5.199 -4.263 0.294 -0.135 4.000
10254 5.619 -3.425 0.206 -1.036 2.470
10255 5.354 -3.644 0.245 -1.041 3.976
10256 5.518 -3.508 0.201 -1.031 2.658
10257 5.676 -3.070 0.083 -0.858 0.692
10258 5.719 -3.071 0.176 -0.790 0.366
10259 5.475 -3.660 0.233 -0.899 1.977
1026 5.254 -4.199 0.292 -0.141 2.467
10260 5.448 -3.900 0.220 -0.460 0.253
10261 5.219 -4.223 0.293 -0.151 1.689
10262 5.237 -4.215 0.286 -0.157 1.115
10263 5.272 -4.168 0.277 -0.165 1.395
10264 5.459 -3.864 0.282 -0.576 3.893
10265 5.354 -3.985 0.251 -0.325 0.266
10266 5.672 -3.566 0.225 -0.720 3.781
10267 5.703 -2.942 0.127 -0.494 3.812
10268 5.371 -3.824 0.260 -0.410 2.035
10269 5.624 -3.815 0.250 -0.461 3.307
1027 5.198 -4.264 0.282 -0.145 4.000
10270 5.225 -4.219 0.286 -0.151 0.070
10271 5.314 -3.930 0.256 -0.319 0.701
10272 5.269 -4.149 0.282 -0.212 3.850
10273 5.339 -4.020 0.270 -0.237 2.421
10274 5.198 -4.264 0.287 -0.137 3.999
10275 5.281 -4.142 0.272 -0.217 3.951
10276 5.312 -4.024 0.269 -0.379 0.337
10277 12.114 3.884 -1.456 -1.528 1.402
10278 5.328 -4.111 0.272 -0.186 0.360
10279 5.297 -4.095 0.267 -0.235 0.882
1028 5.424 -4.039 0.235 -0.228 0.199
10280 5.268 -4.115 0.270 -0.192 0.244
10281 5.200 -4.263 0.296 -0.138 3.997
10282 5.198 -4.263 0.296 -0.126 4.000
10283 5.335 -4.040 0.260 -0.299 3.916
10284 5.199 -4.264 0.284 -0.136 3.999
10285 5.561 -3.656 0.194 -0.499 0.917
10286 5.280 -4.004 0.288 -0.598 3.986
10287 5.762 -3.787 0.225 -0.135 2.856
10288 5.199 -4.265 0.290 -0.135 4.000
10289 5.555 -3.444 0.196 -0.815 2.055
1029 5.216 -4.235 0.290 -0.138 3.978
10290 5.198 -4.263 0.295 -0.133 4.000
10291 5.425 -4.019 0.272 -0.196 3.443
10292 5.268 -4.134 0.279 -0.190 2.099
10293 5.360 -4.084 0.250 -0.219 0.582
10294 5.238 -4.221 0.281 -0.146 3.953
10295 5.199 -4.264 0.290 -0.131 4.001
10296 5.252 -4.170 0.291 -0.175 2.479
10297 5.266 -4.072 0.261 -0.234 3.890
10298 5.453 -3.969 0.265 -0.213 3.230
10299 10.671 0.309 -0.005 -0.186 2.566
103 5.376 -4.014 0.264 -0.239 1.424
1030 5.266 -4.102 0.280 -0.182 0.755
10300 5.223 -4.223 0.284 -0.150 1.905
10301 5.236 -4.211 0.283 -0.158 0.173
10302 5.199 -4.262 0.294 -0.133 3.999
10303 5.662 -3.594 0.253 -0.576 3.915
10304 5.199 -4.263 0.294 -0.129 3.999
10305 5.220 -4.230 0.292 -0.148 0.873
10306 5.372 -3.870 0.236 -0.361 0.120
10307 5.547 -3.781 0.239 -0.563 1.199
10308 5.371 -3.931 0.241 -0.342 2.816
10309 5.199 -4.264 0.293 -0.130 4.001
1031 5.956 -3.377 0.364 -0.147 3.009
10310 5.373 -3.821 0.254 -0.404 0.341
10311 5.575 -3.316 0.204 -0.465 1.870
10312 5.452 -3.752 0.252 -0.313 2.731
10313 5.672 -3.836 0.103 -0.402 0.119
10314 5.198 -4.265 0.295 -0.134 4.001
10315 5.248 -4.183 0.288 -0.164 0.462
10316 5.936 -3.502 0.252 -0.177 3.144
10317 5.489 -3.890 0.228 -0.382 3.203
10318 5.318 -4.115 0.271 -0.217 3.901
10319 5.827 -3.617 0.349 -0.037 0.911
1032 5.342 -3.993 0.237 -0.235 0.516
10320 5.199 -4.263 0.291 -0.125 3.999
10321 5.222 -4.231 0.285 -0.155 1.320
10322 5.612 -3.426 0.205 -0.566 1.583
10323 6.021 -2.783 0.057 -0.411 2.082
10324 5.657 -3.213 0.146 -0.713 2.357
10325 5.967 -3.852 0.173 -0.053 0.931
10326 5.553 -3.483 0.211 -0.565 0.201
10327 6.059 -3.818 0.409 0.135 2.850
10328 6.054 -3.756 0.386 0.113 2.099
10329 5.671 -3.943 0.185 -0.135 1.847
1033 5.682 -3.124 0.115 -1.033 2.795
10330 5.525 -3.757 0.246 -0.549 2.226
10331 5.781 -3.899 0.137 -0.240 1.308
10332 5.676 -3.689 0.273 -0.339 1.167
10333 6.237 -4.035 0.460 0.318 3.917
10334 5.539 -3.645 0.226 -0.500 1.828
10335 5.791 -2.865 0.141 -0.885 3.077
10336 5.568 -3.567 0.202 -0.785 1.478
10337 5.720 -3.553 0.223 -0.662 2.686
10338 5.445 -3.665 0.247 -0.346 1.475
10339 5.297 -4.170 0.297 -0.157 0.239
1034 5.614 -3.146 0.137 -0.834 1.104
10340 5.319 -4.096 0.273 -0.189 0.523
10341 6.111 -3.788 0.107 -0.065 1.406
10342 5.430 -3.733 0.248 -0.770 0.846
10343 5.440 -3.836 0.237 -0.325 0.630
10344 6.253 -3.975 0.315 0.130 3.669
10345 5.206 -4.257 0.293 -0.131 3.998
10346 6.366 -3.950 0.093 -0.034 3.015
10347 5.612 -3.568 0.281 -0.734 0.790
10348 5.458 -3.645 0.225 -0.855 0.787
10349 5.551 -3.369 0.167 -1.116 2.979
1035 5.631 -3.184 0.170 -0.756 1.066
10350 5.328 -3.778 0.264 -0.855 3.976
10351 5.568 -3.531 0.206 -1.001 1.894
10352 5.608 -3.521 0.234 -0.880 3.467
10354 5.765 -2.906 0.065 -0.928 2.197
10355 5.697 -4.096 0.040 -0.311 0.179
10356 6.121 -3.663 0.403 0.155 0.950
10357 5.414 -3.596 0.263 -1.034 3.984
10358 5.562 -3.566 0.223 -0.819 3.875
10359 5.843 -3.356 0.231 -0.754 3.273
1036 5.595 -3.156 0.129 -0.816 0.532
10360 5.742 -3.443 0.241 -0.697 2.463
10361 5.510 -3.587 0.243 -0.923 2.460
10362 5.511 -4.026 0.205 -0.168 0.505
10363 5.396 -3.954 0.227 -0.269 0.070
10364 5.448 -3.752 0.221 -0.760 2.822
10365 5.211 -4.246 0.297 -0.136 3.989
10366 5.199 -4.260 0.279 -0.141 4.000
10367 5.331 -4.031 0.281 -0.211 3.889
10368 5.716 -3.866 0.256 -0.146 1.451
10369 5.399 -3.818 0.268 -0.753 3.967
1037 5.457 -3.803 0.275 -0.358 0.841
10370 5.712 -3.487 0.286 -0.811 3.902
10371 5.362 -4.148 0.215 -0.220 0.092
10372 5.938 -3.906 0.393 0.072 2.369
10373 5.361 -3.713 0.234 -0.299 0.778
10374 5.903 -3.331 0.211 -0.254 2.415
10375 5.250 -4.219 0.276 -0.160 0.032
10376 5.251 -4.215 0.280 -0.160 2.226
10377 5.286 -4.059 0.262 -0.232 3.923
10378 5.278 -4.132 0.281 -0.182 0.330
10379 5.199 -4.262 0.301 -0.123 3.998
1038 5.535 -3.524 0.202 -0.876 0.937
10380 5.199 -4.263 0.292 -0.136 4.003
10381 5.219 -4.238 0.291 -0.141 3.975
10382 5.516 -3.926 0.220 -0.306 0.872
10383 5.198 -4.262 0.298 -0.130 4.001
10384 10.080 1.747 -0.186 -0.791 2.102
10385 5.205 -4.256 0.301 -0.130 3.998
10386 5.576 -3.574 0.278 -0.497 3.833
10387 5.575 -3.788 0.207 -0.402 2.886
10388 5.220 -4.219 0.286 -0.157 1.653
10389 5.290 -4.102 0.267 -0.217 1.018
1039 5.199 -4.263 0.298 -0.127 4.000
10390 5.456 -3.906 0.265 -0.380 2.379
10391 5.241 -4.227 0.285 -0.145 3.906
10392 5.228 -4.222 0.290 -0.146 0.240
10393 5.249 -4.194 0.287 -0.158 3.772
10394 5.223 -4.229 0.299 -0.136 3.943
10395 5.197 -4.265 0.307 -0.123 4.000
10396 5.279 -4.013 0.273 -0.212 3.901
10398 5.251 -4.194 0.280 -0.163 3.680
10399 5.334 -3.975 0.263 -0.303 3.859
104 5.317 -4.052 0.288 -0.339 3.935
1040 5.522 -4.002 0.326 -0.104 2.188
10400 5.471 -3.889 0.260 -0.396 2.610
10401 5.402 -4.031 0.263 -0.173 0.421
10402 5.315 -4.132 0.234 -0.215 0.071
10403 5.208 -4.253 0.299 -0.131 3.990
10404 5.341 -3.989 0.253 -0.355 0.138
10405 5.969 -3.920 -0.074 -0.390 3.374
10406 5.645 -4.019 0.174 -0.187 3.077
10407 5.267 -4.139 0.273 -0.189 2.639
10408 5.253 -4.200 0.293 -0.166 3.948
10409 5.537 -3.930 0.184 -0.276 0.185
1041 5.653 -3.078 0.118 -0.895 1.836
10410 5.387 -3.826 0.253 -0.480 2.149
10411 5.848 -3.946 0.158 -0.125 3.859
10412 5.423 -3.506 0.227 -0.354 1.319
10413 5.454 -3.675 0.222 -0.828 3.812
10414 5.213 -4.241 0.291 -0.142 3.975
10415 5.481 -3.812 0.258 -0.313 0.975
10416 5.208 -4.252 0.314 -0.123 3.991
10417 5.510 -3.737 0.250 -0.734 1.739
10418 5.477 -3.677 0.225 -0.464 0.604
10419 5.646 -3.914 0.206 -0.126 0.435
1042 5.275 -4.088 0.294 -0.162 0.719
10420 5.296 -4.116 0.277 -0.177 1.306
10421 5.205 -4.251 0.293 -0.138 3.991
10422 5.899 -3.776 0.365 0.060 1.715
10423 5.199 -4.263 0.299 -0.128 4.001
10424 5.553 -3.826 0.284 -0.293 0.644
10425 5.324 -4.084 0.274 -0.226 1.509
10426 5.465 -3.478 0.201 -0.602 1.172
10427 5.607 -3.486 0.195 -0.622 3.903
10428 5.460 -3.600 0.211 -0.529 1.598
10429 5.214 -4.246 0.308 -0.124 3.983
1043 5.504 -3.966 0.282 -0.179 0.592
10430 5.601 -3.268 0.207 -0.693 1.828
10431 6.298 -3.883 0.425 0.253 3.719
10432 5.517 -3.384 0.187 -0.374 0.412
10433 5.301 -4.083 0.256 -0.230 0.112
10434 5.478 -3.836 0.248 -0.619 2.437
10435 5.464 -3.732 0.242 -0.680 3.878
10436 5.492 -3.647 0.257 -0.381 1.839
10437 6.168 -3.803 0.426 0.140 2.528
10438 5.228 -4.224 0.293 -0.146 3.920
10439 5.516 -3.517 0.195 -0.928 2.048
1044 6.241 -3.921 0.149 -0.022 3.865
10440 5.365 -4.103 0.251 -0.199 0.088
10441 5.604 -3.458 0.216 -0.601 1.969
10442 5.964 -3.960 0.399 0.125 0.536
10443 5.347 -3.817 0.275 -0.762 3.987
10444 5.529 -3.684 0.242 -0.616 1.572
10445 5.885 -3.835 0.258 -0.109 1.616
10446 5.632 -3.831 0.103 -0.327 0.214
10447 5.804 -3.881 0.116 -0.223 1.424
10448 5.518 -3.705 0.253 -0.739 3.912
10449 5.469 -3.601 0.235 -0.924 0.953
1045 5.650 -3.186 0.166 -0.944 3.814
10450 6.035 -3.452 0.321 -0.267 2.496
10451 5.198 -4.263 0.314 -0.115 3.999
10452 5.918 -3.671 -0.031 -0.641 2.413
10453 5.449 -3.590 0.252 -0.996 1.122
10454 5.568 -3.464 0.199 -1.006 0.677
10455 5.619 -3.518 0.186 -0.912 1.870
10456 5.396 -3.874 0.251 -0.496 1.188
10457 5.198 -4.262 0.294 -0.135 3.998
10458 5.592 -3.869 0.207 -0.209 1.103
10459 5.586 -3.320 0.167 -0.678 2.357
1046 5.716 -3.359 0.164 -0.983 3.801
10460 5.523 -3.646 0.229 -0.640 1.219
10461 5.562 -3.260 0.157 -0.951 2.899
10462 5.913 -3.374 -0.044 -0.568 1.854
10463 5.497 -3.755 0.260 -0.591 0.650
10464 5.616 -3.724 0.267 -0.363 1.603
10465 5.330 -3.907 0.279 -0.669 3.957
10466 5.507 -3.849 0.286 -0.557 1.285
10467 5.609 -3.259 0.182 -0.501 2.077
10468 5.351 -3.899 0.259 -0.295 3.563
10469 5.945 -3.859 0.396 0.108 1.286
1047 6.493 -3.403 0.443 0.147 3.644
10470 5.212 -4.249 0.288 -0.138 3.987
10471 5.290 -4.048 0.275 -0.325 1.119
10472 5.884 -4.061 0.345 0.073 2.276
10473 5.197 -4.262 0.307 -0.120 3.999
10474 5.389 -4.046 0.269 -0.265 2.950
10475 5.414 -4.079 0.264 -0.167 0.375
10476 5.729 -2.931 0.060 -0.625 2.665
10477 5.295 -3.907 0.280 -0.693 3.987
10478 5.200 -4.264 0.292 -0.138 3.999
10479 5.985 -3.943 0.392 0.117 1.900
1048 5.499 -3.749 0.235 -0.740 3.238
10480 5.212 -4.239 0.291 -0.142 3.985
10481 5.477 -3.887 0.245 -0.194 1.715
10482 5.264 -4.133 0.268 -0.204 1.953
10483 5.207 -4.252 0.291 -0.136 3.993
10484 5.276 -4.137 0.265 -0.175 1.568
10485 5.288 -3.947 0.275 -0.670 3.977
10486 5.338 -3.916 0.253 -0.493 0.717
10487 5.222 -4.224 0.293 -0.143 3.515
10488 5.574 -3.778 0.261 -0.360 3.202
10489 5.346 -4.058 0.286 -0.162 1.173
1049 5.262 -4.145 0.289 -0.187 1.072
10490 5.232 -4.195 0.287 -0.161 1.931
10491 5.404 -3.598 0.218 -0.568 0.067
10492 5.231 -4.210 0.278 -0.158 1.735
10493 5.203 -4.256 0.274 -0.149 3.996
10494 5.207 -4.248 0.288 -0.143 3.983
10495 5.289 -4.128 0.277 -0.184 1.382
10496 5.201 -4.260 0.301 -0.127 3.997
10497 5.401 -3.878 0.236 -0.444 2.521
10498 5.405 -3.843 0.259 -0.232 2.344
