#zs, m1, m2, SNR 
5.531 9.519 5.401 4.383
2.006 14.044 12.719 13.360
8.118 6.651 5.365 4.673
6.560 11.936 5.976 10.449
2.758 25.802 13.884 10.441
3.599 5.707 5.334 2.027
5.134 6.347 5.884 1.584
0.765 7.352 7.019 13.406
2.072 13.117 11.768 7.027
2.553 5.459 5.255 6.811
1.579 9.241 7.418 23.035
2.758 5.525 5.193 5.866
13.214 6.358 5.865 2.682
1.376 5.501 5.392 16.631
2.373 5.054 5.027 8.038
2.553 11.663 9.589 6.359
5.999 7.292 6.506 7.429
3.997 6.776 5.709 1.557
1.944 5.760 5.518 14.418
2.460 8.212 6.352 2.572
9.259 9.615 8.131 3.962
5.531 7.630 6.544 1.071
2.872 7.407 6.812 12.420
2.652 6.606 5.470 7.791
17.296 8.549 5.143 4.757
4.231 6.106 5.029 10.634
2.072 9.115 7.856 7.314
2.006 16.542 14.634 28.482
2.373 7.278 6.453 4.558
3.997 31.197 25.862 26.329
10.840 6.305 6.008 8.315
9.259 11.468 11.225 1.070
4.494 13.459 12.533 14.058
2.460 10.120 5.702 7.974
13.214 20.220 19.603 14.806
5.134 7.278 5.142 3.349
8.118 8.525 7.790 6.629
10.840 15.609 9.493 14.037
2.872 9.970 8.617 18.600
2.141 35.695 9.756 12.335
3.127 50.768 23.473 12.039
3.788 6.041 5.979 12.722
4.792 6.249 5.212 2.786
10.840 12.251 10.805 5.586
4.792 13.470 8.702 6.230
5.999 36.747 15.804 11.321
2.460 5.477 5.463 2.350
2.460 10.814 5.277 4.504
1.827 5.538 5.254 3.344
2.758 6.073 5.413 3.353
2.460 7.540 5.388 11.696
1.884 6.385 5.846 6.547
4.494 22.173 13.925 12.852
4.231 39.041 5.854 8.415
2.994 9.781 7.433 12.783
3.270 6.401 5.928 1.716
8.118 13.477 5.391 1.221
4.494 8.649 8.538 6.612
4.494 14.729 7.014 7.600
2.373 6.128 5.095 13.555
5.531 12.450 11.388 1.978
3.127 5.701 5.322 16.060
1.535 23.481 5.768 30.252
2.758 10.443 6.770 27.217
3.788 6.429 5.995 7.884
3.270 8.520 7.209 5.668
5.531 7.595 5.236 5.837
5.134 6.777 5.553 3.758
0.530 49.979 22.609 180.911
4.792 24.451 8.454 16.760
2.141 31.683 29.067 15.471
9.259 6.456 5.677 4.314
9.259 6.924 5.404 9.889
5.531 9.329 5.964 9.168
6.560 12.465 10.968 2.436
3.788 39.545 35.969 18.473
4.231 6.652 5.409 9.466
2.072 10.356 5.322 9.308
10.840 8.661 5.777 9.313
7.248 9.146 5.311 8.031
2.460 6.154 5.463 11.284
1.493 7.645 7.190 12.741
4.231 17.566 14.519 17.776
10.840 34.065 5.003 8.227
3.788 11.473 9.549 3.761
1.271 7.956 5.513 4.976
2.652 7.389 5.770 0.820
1.722 17.770 15.537 33.454
2.652 7.093 6.055 8.353
2.994 15.142 13.633 16.425
4.792 8.345 8.100 1.699
1.493 8.267 7.061 15.905
4.231 5.018 5.014 4.293
8.118 9.489 6.452 4.173
3.997 5.701 5.300 9.047
5.531 5.616 5.145 7.031
5.999 9.605 8.358 5.048
1.625 5.043 5.010 4.074
2.994 9.613 8.460 20.574
1.035 6.925 6.351 23.479
9.259 15.731 6.770 14.573
7.248 6.268 6.003 7.697
13.214 6.500 6.487 4.042
8.118 8.994 6.956 8.041
1.535 6.904 5.705 18.649
2.652 5.171 5.052 9.334
3.427 7.410 6.269 13.435
7.248 5.732 5.414 3.322
2.994 6.095 5.354 4.599
17.296 26.016 5.130 2.684
3.270 7.738 6.177 6.390
5.999 14.216 9.310 2.394
5.134 5.414 5.194 4.275
4.792 14.737 12.703 4.548
3.127 5.528 5.400 3.464
2.553 5.663 5.594 1.432
3.127 19.711 10.814 8.907
0.460 5.774 5.087 17.975
2.291 19.877 19.656 6.988
2.872 7.801 5.158 4.457
4.231 6.936 6.216 9.541
10.840 6.244 6.000 4.648
4.792 5.565 5.563 7.398
2.141 7.656 5.356 2.120
1.944 23.999 18.846 41.964
7.248 15.130 11.498 4.728
4.231 5.885 5.203 4.151
2.872 6.366 5.644 10.080
2.141 14.281 9.540 14.813
5.531 6.483 5.220 5.058
2.758 6.668 5.414 10.501
6.560 28.277 25.859 24.436
1.827 10.464 9.412 13.505
3.427 7.466 5.722 7.985
3.427 12.744 10.658 13.187
1.625 5.397 5.302 1.633
10.840 5.343 5.334 3.689
2.373 6.573 5.823 9.796
3.427 52.427 43.188 28.389
2.072 9.317 8.674 9.923
1.376 5.865 5.672 8.107
