# id  z  ra  dec  fix_sersic_n  sersic_n_fitted  sersic_re_fitted  sersic_n_corrected  sersic_re_corrected host_mag_g host_mag_r host_mag_i host_mag_z host_mag_y  ps_mag_g ps_mag_r ps_mag_i ps_mag_z ps_mag_y decomposition_chisq  stellar_mass  sed_chisq  logMBH  logMBH_err
000403.92+012105.8 0.921 1.0163596 1.3516208 false 5.987 0.1 5.772 0.172 23.5750596628 22.9606507785 22.2546136971 21.7645911134 21.2701245378 21.074582694 21.0973196923 21.3570759992 21.5784248755 21.6526651494 1.03 10.3528486417 0.330596113008 8.14663797098 0.251381939968
000405.15+004122.6 0.787 1.0214858 0.68963606 false 0.503 0.86 0.472 0.883 23.33275684 22.558174418 21.5864069073 21.1815158086 21.0766448892 22.1245748505 22.0572921992 21.5647923048 21.1011843859 21.0728664145 1.11 10.5774503029 0.000727211042444 8.20165067198 0.34313214767
000411.50-005920.0 0.907 1.047925 -0.98886498 false 0.693 1.318 0.664 1.45 23.9013758964 23.5273063905 22.068497909 21.6852888297 21.3333038363 19.8607948469 19.7667693233 19.88612942 19.7006943652 19.6405553686 1.62 10.7264903553 0.83156353185 9.25163024684 0.0674576734708
000413.23+014418.4 0.516 1.0551712 1.738457 true 0.375 0.77 0.7 0.746 22.0988587326 21.1253012819 20.2064166914 19.8827043574 19.785893146 18.9644161163 18.9197603544 18.8003953542 18.8265381541 18.340726544 2.74 10.7663207894 0.178507272712 7.96507945219 0.0946448813987
000421.84+005743.6 0.793 1.0910352 0.96211062 false 0.941 0.961 0.886 1.006 23.525313604 22.4368567479 21.2462150894 20.8384520238 20.7194967956 20.4259511018 20.1604161327 20.0373555455 19.8071924392 19.9576080028 1.23 10.8718744086 0.0207760939565 8.89356434186 0.236501595324
000428.93+014852.5 0.992 1.1205514 1.8145978 false 0.979 0.594 0.944 0.617 23.0404733402 22.429220485 21.4695909393 20.9680592921 20.8222770282 20.7408194426 20.6042007727 20.7730747745 20.8056200721 20.5930429867 1.11 10.7949936032 0.00404203785432 8.37039139635 0.108057844932
000429.47-002142.8 0.614 1.1228112 -0.36190059 false 4.209 1.259 4.662 1.372 22.6382312078 21.2022088152 20.2381655953 19.7500358598 19.4020925283 19.5482149192 19.5954225288 19.4942283937 19.6272278896 19.5465114297 1.85 11.1768608274 0.0669917472753 9.14690283923 0.0633312144611
000439.97-000146.4 0.583 1.1665579 -0.029589351 true 6.999 0.645 2.0 0.664 21.5796626772 20.4399293665 19.8729939847 19.0221678438 19.1564129453 21.0032754453 21.3560615308 21.2298114407 nan nan 1.46 10.7824403603 0.132165689152 8.22632461152 0.364122613546
000442.15+014141.2 0.95 1.1756563 1.6947865 false 0.489 1.154 0.479 1.191 23.5497433637 21.9158275445 20.9905648855 20.4974888505 20.3560076279 19.8229108903 19.6975549401 19.8449146765 19.8173483875 19.6027557067 1.37 11.1402664172 0.659667465279 8.81915930466 0.0472349284032
000445.71+002245.0 0.497 1.190512 0.3791884 false 1.019 1.96 1.015 1.987 20.8592937327 19.8041436853 19.1773655712 18.8671185835 18.6417784269 19.3422532651 19.3124444837 19.2426472121 19.2811524725 18.4288093462 4.55 11.0028865315 0.00248344772026 8.20454192795 0.0961402941878
