count_i, smass, sfr, m_age, l_age, AV, E(B-V) 
1195 7.348 -2.952 0.011 -0.125 0.416 0.5112
1196 6.642 -2.193 -0.055 -1.315 2.693 0.7665
1197 7.220 -2.704 -0.274 -0.563 1.664 0.5772
1198 6.596 -1.887 -0.302 -1.268 1.136 0.2825
1199 7.007 -1.800 0.119 -0.490 0.997 0.4703
12 5.800 -3.333 0.162 -0.547 2.592 0.9150
120 5.559 -3.704 0.243 -0.291 3.311 1.1903
1200 6.508 -2.092 -0.156 -1.209 1.381 0.3813
1201 6.627 -1.962 -0.057 -1.113 2.017 0.5015
1202 6.870 -3.176 0.390 0.107 1.496 0.7436
1203 6.447 -2.542 0.050 -1.098 2.574 0.7457
1204 6.652 -2.009 -0.156 -0.627 0.733 0.3479
1205 6.252 -3.159 0.327 -0.398 0.375 0.3021
1206 6.090 -2.705 0.056 -0.997 0.284 0.0977
1207 6.492 -3.331 0.353 -0.057 2.950 1.2898
1208 5.947 -3.210 0.231 -0.700 3.469 1.0202
1209 5.922 -3.059 0.132 -0.636 0.735 0.3232
1210 5.691 -3.708 0.223 -0.258 3.126 1.0771
1211 6.364 -2.355 0.091 -0.833 2.751 0.7689
1212 6.242 -3.167 -0.207 -0.561 0.228 0.2287
1213 6.198 -2.411 -0.125 -1.035 1.475 0.4470
1214 6.176 -3.115 0.228 -0.354 0.804 0.4534
1215 5.708 -3.419 0.181 -0.457 0.060 0.1877
1216 6.428 -1.978 -0.246 -0.793 1.078 0.3921
1217 6.486 -2.577 0.106 -0.638 1.386 0.5587
1218 6.474 -2.169 -0.095 -1.000 1.569 0.5746
1219 6.461 -2.529 -0.175 -0.759 0.353 0.2087
122 6.956 -2.866 0.396 0.058 3.345 1.2259
1220 7.017 -2.661 -0.188 -0.543 2.286 0.7518
1221 6.813 -3.321 -0.182 -0.387 0.212 0.2176
1222 6.902 -1.537 -0.247 -0.762 1.651 0.5479
1223 7.029 -2.907 -0.325 -0.595 0.757 0.3520
1224 6.491 -1.967 -0.245 -1.353 0.468 0.1113
1225 6.937 -1.427 -0.451 -0.897 0.724 0.3041
1226 7.489 -2.934 0.080 -0.055 1.318 0.7820
1227 7.621 -3.030 0.386 0.284 0.551 0.6325
1228 7.717 -2.988 0.454 0.363 0.467 0.6681
1229 7.647 -2.518 0.028 -0.092 0.872 0.6496
123 5.218 -4.233 0.300 -0.135 3.986 1.3237
1230 7.925 -3.025 0.451 0.379 0.518 0.7090
1231 7.921 -1.321 0.394 0.069 1.027 0.5875
1232 8.022 -2.871 0.079 -0.002 0.965 0.7063
1233 8.160 -2.575 0.076 -0.000 1.584 0.8744
1234 8.270 -3.212 0.373 0.283 0.730 0.6616
1235 8.346 -2.632 0.351 0.246 0.433 0.6016
1236 8.453 -2.806 0.389 0.292 0.436 0.6201
1237 8.354 -2.454 -0.365 -0.492 1.424 0.5172
1238 8.385 -2.434 -0.397 -0.491 1.599 0.5720
1239 8.479 -2.744 0.413 0.344 0.663 0.6861
124 6.432 -3.148 -0.048 -0.426 0.370 0.2730
1240 8.443 -2.840 0.452 0.401 0.530 0.7188
1241 8.351 -2.806 0.420 0.349 0.648 0.7132
1242 8.185 -2.706 0.389 0.294 0.773 0.6737
1243 7.832 -2.117 -0.372 -0.517 1.091 0.4294
1244 7.894 -2.735 0.074 -0.018 0.980 0.6703
1245 7.926 -2.856 0.070 -0.001 1.866 0.9579
1246 7.851 -1.982 0.434 0.301 0.906 0.6634
1247 7.197 -1.059 -0.611 -0.932 1.077 0.3829
1248 7.801 -2.888 0.447 0.373 1.597 0.9936
1249 7.023 -1.327 -0.328 -0.893 1.099 0.3824
125 5.824 -3.656 0.097 -0.401 0.194 0.2386
1250 6.652 -2.139 -0.030 -1.401 3.487 1.1500
