# id in_final_catalog selection_bit
015638.06-040000.4 y boss_core
015640.72-004735.6 y boss_core
015644.46-021804.5 n boss_core
015653.16-004623.2 n non_uniform
015707.23-002637.7 n non_uniform
015707.78-011241.7 n dr7_core
015709.76-035612.4 n boss_core
015709.81-021009.9 y boss_core
015711.74-021228.8 n boss_core
015714.19-042345.8 y boss_core
015714.88-013721.1 n boss_core
015718.25-031615.4 y boss_core
015722.82-004254.3 n non_uniform
015727.16-021512.1 y boss_core
015727.45-025700.5 y boss_core
015730.23-044849.8 y boss_core
015736.07-043421.5 y boss_core
015738.37-013422.6 y boss_core
015744.29-041627.3 y boss_core
015744.41-045445.2 y boss_core
015751.36-035142.2 y boss_core
015754.13-051915.4 n boss_core
015757.27-002541.7 n non_uniform
015800.45-003304.6 n non_uniform
015802.83-021723.9 y boss_core
015805.12-003744.3 n non_uniform
015811.33-050241.6 y boss_core
015813.56-004635.5 n boss_core
015813.66-034342.0 y boss_core
015818.66-042405.3 n boss_core
015818.77-020010.8 y boss_core
015819.05-033623.8 y boss_core
015819.61-044737.3 n boss_core
015820.34-010453.9 n boss_core
015824.41-041811.6 n boss_core
015825.30-004846.3 y boss_core
015832.55-033108.8 y boss_core
015834.70-031843.1 y boss_core
015835.48-022604.2 y boss_core
015840.14-040211.7 y boss_core
015840.45-033937.5 y boss_core
015842.95-034539.3 n boss_core
015845.78-002138.6 n non_uniform
015846.05-014940.5 n boss_core
015849.84-024012.2 y boss_core
015850.62-032751.5 y boss_core
015851.70-023149.1 y boss_core
015855.91-014541.9 y boss_core
015903.79-020515.4 y boss_core
015915.62-014043.6 n non_uniform
015916.92-030730.8 y boss_core
015919.19-021051.6 n boss_core
015921.28-012153.8 y boss_core
015925.77-025851.1 y boss_core
015933.30-034133.6 y boss_core
015949.01-011320.9 y boss_core
015951.35-043054.3 n boss_core
015959.63-003815.9 y boss_core
015959.69-025142.0 y boss_core
020000.03-031405.2 y boss_core
020002.42-042148.2 n boss_core
020003.60-004521.0 y boss_core
020012.64-042213.7 n boss_core
020014.63-013617.7 n boss_core
020015.26-015433.8 y boss_core
020021.28-033725.0 n boss_core
020025.62-010041.6 y boss_core
020028.02-022119.7 y boss_core
020032.24-003155.8 n non_uniform
020033.03-032455.1 y boss_core
020039.40-034401.7 y boss_core
020048.36-021751.2 y boss_core
